,match_id,inning,over,ball,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs
match_id,1.0,0.0010332386515363764,0.004365137204739011,-0.002463711580643234,-0.0012196587073928429,-0.004849535215804175,-0.004661943753967566,-0.004323997394074132,-0.0058491158352969716,-0.0009721130632335082,0.00627251337908304,-0.008833344676346288,0.004366266370463179
inning,0.0010332386515363764,1.0,-0.051495935023341204,-0.003618486545040542,0.09190384474916342,0.001054711805010836,-0.00039518533081912805,-0.0013847055695168455,0.0003885701273543383,0.0037625112037213827,-0.005668367503975462,0.0001317533200553661,-0.005679614812026789
over,0.004365137204739011,-0.051495935023341204,1.0,-0.010952652013010829,-0.03739445675154676,-0.01622641211519174,0.013669424285901014,-0.0059070560810534625,0.01571657538604221,-0.0010554518922798923,0.08994477127707774,-0.007648844581451897,0.08889568191589907
ball,-0.002463711580643234,-0.003618486545040542,-0.010952652013010829,1.0,-0.0012577440177500103,-0.0059306825733911285,0.006755249497604746,-0.004448946611928373,0.0023500181512099566,0.0007735134477700199,0.008944205320723944,-0.004176201673300801,0.008085530341637252
is_super_over,-0.0012196587073928429,0.09190384474916342,-0.03739445675154676,-0.0012577440177500103,1.0,-0.0011547626005655432,0.0015157627502128406,0.001717152218679693,0.014388918287353586,-8.461673597500886e-05,0.011497304752074174,0.003613054172428436,0.012377102093746704
wide_runs,-0.004849535215804175,0.001054711805010836,-0.01622641211519174,-0.0059306825733911285,-0.0011547626005655432,1.0,-0.006229890899272069,-0.016185619077175382,-0.00870274169121035,0.013633453937158544,-0.1116895646101361,0.7237258933422793,0.04735431774726625
bye_runs,-0.004661943753967566,-0.00039518533081912805,0.013669424285901014,0.006755249497604746,0.0015157627502128406,-0.006229890899272069,1.0,-0.004751071916383091,-0.0025545733807009682,-0.00015591170493649026,-0.03278497728377961,0.3188503268783944,0.037401522403492087
legbye_runs,-0.004323997394074132,-0.0013847055695168455,-0.0059070560810534625,-0.004448946611928373,0.001717152218679693,-0.016185619077175382,-0.004751071916383091,1.0,-0.006636930295079021,-0.00040506768201341303,-0.08517727875942024,0.5574034338652732,0.03732207758910227
noball_runs,-0.0058491158352969716,0.0003885701273543383,0.01571657538604221,0.0023500181512099566,0.014388918287353586,-0.00870274169121035,-0.0025545733807009682,-0.006636930295079021,1.0,-0.00021779824344197454,0.00027216295412833385,0.19672381348574247,0.04372163943126572
penalty_runs,-0.0009721130632335082,0.0037625112037213827,-0.0010554518922798923,0.0007735134477700199,-8.461673597500886e-05,0.013633453937158544,-0.00015591170493649026,-0.00040506768201341303,-0.00021779824344197454,1.0,-0.0027951870624109434,0.06184150391959333,0.010842954874087912
batsman_runs,0.00627251337908304,-0.005668367503975462,0.08994477127707774,0.008944205320723944,0.011497304752074174,-0.1116895646101361,-0.03278497728377961,-0.08517727875942024,0.00027216295412833385,-0.0027951870624109434,1.0,-0.14176130721217176,0.975808936214938
extra_runs,-0.008833344676346288,0.0001317533200553661,-0.007648844581451897,-0.004176201673300801,0.003613054172428436,0.7237258933422793,0.3188503268783944,0.5574034338652732,0.19672381348574247,0.06184150391959333,-0.14176130721217176,1.0,0.07808519375114001
total_runs,0.004366266370463179,-0.005679614812026789,0.08889568191589907,0.008085530341637252,0.012377102093746704,0.04735431774726625,0.037401522403492087,0.03732207758910227,0.04372163943126572,0.010842954874087912,0.975808936214938,0.07808519375114001,1.0
