,Unnamed: 0,season,Batting_Run_Rate,Batting_Average,Batting_Wicket_Rate,Batting_Index,Bowling_Economy_Rate,Bowling_Average,Bowling_Strike_Rate,Bowling_Index,Net_Run_Rate,Net_Average,Net_Rate,Net_Index
Unnamed: 0,1.0,0.9946342162298029,0.3012474382942258,0.30124743829422507,-0.035602934800267896,0.30046874154036507,0.33429032983790224,0.3650740176257288,-0.036447073225315034,0.36855799125859856,-0.33268507821523835,-0.01565751527865615,-0.0007217896655543386,-0.24044726965279983
season,0.9946342162298029,1.0,0.31602738573549444,0.31602738573549444,-0.033884855302019914,0.3134910548438074,0.3438856289588097,0.37483531549383947,-0.04020872158672656,0.37860421601932776,-0.3421418337795203,-0.008307702854224889,0.0026763552345763176,-0.24339476282132694
Batting_Run_Rate,0.3012474382942258,0.31602738573549444,1.0,0.9999999999999992,-0.45696366938037014,0.9922516359641703,0.5875897340173485,0.5764267503129933,0.31085593358404784,0.6093550474290719,-0.5776746712996862,0.5809667336911305,-0.48365517770475086,-0.027722917426911332
Batting_Average,0.30124743829422507,0.31602738573549444,0.9999999999999992,1.0,-0.45696366938036814,0.992251635964171,0.5875897340173482,0.5764267503129935,0.31085593358404345,0.6093550474290718,-0.5776746712996854,0.5809667336911296,-0.48365517770474664,-0.02772291742691154
Batting_Wicket_Rate,-0.035602934800267896,-0.033884855302019914,-0.45696366938037014,-0.45696366938036814,1.0,-0.41636790755734865,-0.0012217198933422507,0.06563089631928845,-0.27289701629503943,0.02736697486466734,-0.005657082199446894,-0.5932204766356358,0.810224335589321,-0.34528433740145004
Batting_Index,0.30046874154036507,0.3134910548438074,0.9922516359641703,0.992251635964171,-0.41636790755734865,1.0,0.57512241250602,0.5895016179267389,0.3244482248555934,0.6093661347314971,-0.565214650422179,0.558993114458794,-0.4657940329390997,-0.021953516147543203
Bowling_Economy_Rate,0.33429032983790224,0.3438856289588097,0.5875897340173485,0.5875897340173482,-0.0012217198933422507,0.57512241250602,1.0,0.8457046350582753,-0.26517279717456627,0.958054955338709,-0.9999255833175531,-0.16363330378803478,0.16076841663261998,-0.7787463420826358
Bowling_Average,0.3650740176257288,0.37483531549383947,0.5764267503129933,0.5764267503129935,0.06563089631928845,0.5895016179267389,0.8457046350582753,1.0,-0.24294794182270005,0.9511006380277035,-0.8444431068400121,-0.33021497249128673,0.1902786651549181,-0.7592449535401092
Bowling_Strike_Rate,-0.036447073225315034,-0.04020872158672656,0.31085593358404784,0.31085593358404345,-0.27289701629503943,0.3244482248555934,-0.26517279717456627,-0.24294794182270005,1.0,-0.2655298861414053,0.272188919414139,0.6010663572404251,-0.7849804891458526,0.5769766626150236
Bowling_Index,0.36855799125859856,0.37860421601932776,0.6093550474290719,0.6093550474290718,0.02736697486466734,0.6093661347314971,0.958054955338709,0.9511006380277035,-0.2655298861414053,1.0,-0.9572839203518535,-0.2434722240741463,0.17939603962206369,-0.8060756040151205
Net_Run_Rate,-0.33268507821523835,-0.3421418337795203,-0.5776746712996862,-0.5776746712996854,-0.005657082199446894,-0.565214650422179,-0.9999255833175531,-0.8444431068400121,0.272188919414139,-0.9572839203518535,1.0,0.17382984600533258,-0.1694726485814574,0.7851692956290511
Net_Average,-0.01565751527865615,-0.008307702854224889,0.5809667336911305,0.5809667336911296,-0.5932204766356358,0.558993114458794,-0.16363330378803478,-0.33021497249128673,0.6010663572404251,-0.2434722240741463,0.17382984600533258,1.0,-0.7482087563331108,0.7242283879880116
Net_Rate,-0.0007217896655543386,0.0026763552345763176,-0.48365517770475086,-0.48365517770474664,0.810224335589321,-0.4657940329390997,0.16076841663261998,0.1902786651549181,-0.7849804891458526,0.17939603962206369,-0.1694726485814574,-0.7482087563331108,1.0,-0.5738704756585735
Net_Index,-0.24044726965279983,-0.24339476282132694,-0.027722917426911332,-0.02772291742691154,-0.34528433740145004,-0.021953516147543203,-0.7787463420826358,-0.7592449535401092,0.5769766626150236,-0.8060756040151205,0.7851692956290511,0.7242283879880116,-0.5738704756585735,1.0
