,Unnamed: 0,season,Id,Batting_Run_Rate,Batting_Average,Batting_Wicket_Rate,Batting_Index,Bowling_Economy_Rate,Bowling_Average,Bowling_Strike_Rate,Bowling_Index,winning_percentage
Unnamed: 0,1.0,0.47245371742202646,0.5392347916631905,0.11292769551021109,0.11292769551021094,-0.009179764925790401,0.11977282793462021,0.06615617233272784,0.11292769551021094,-0.009179764925790401,0.09589968450107306,0.010156078265656739
season,0.47245371742202646,1.0,0.4706551849278027,0.114008738631365,0.11400873863136503,-0.009136375829082215,0.11522636791730502,0.09372744650865032,0.11400873863136503,-0.009136375829082215,0.11115315429981577,0.009605079989689111
Id,0.5392347916631905,0.4706551849278027,1.0,0.031842428200231816,0.031842428200231275,-0.03974671358908115,0.03088676443145648,0.026243140589642434,0.031842428200231275,-0.03974671358908115,0.02614098371903799,0.011159680958846698
Batting_Run_Rate,0.11292769551021109,0.114008738631365,0.031842428200231816,1.0,0.9999999999999976,-0.4686910280583573,0.9877990680232286,0.8053698498987871,0.9999999999999976,-0.4686910280583573,0.9263218396380766,0.14752640820265228
Batting_Average,0.11292769551021094,0.11400873863136503,0.031842428200231275,0.9999999999999976,1.0,-0.46869102805835655,0.9877990680232263,0.8053698498987871,1.0,-0.46869102805835655,0.9263218396380762,0.14752640820265162
Batting_Wicket_Rate,-0.009179764925790401,-0.009136375829082215,-0.03974671358908115,-0.4686910280583573,-0.46869102805835655,1.0,-0.4414545475999979,-0.38297913508206927,-0.46869102805835655,1.0,-0.4297964117685719,-0.1395612803622634
Batting_Index,0.11977282793462021,0.11522636791730502,0.03088676443145648,0.9877990680232286,0.9877990680232263,-0.4414545475999979,1.0,0.7578318645174449,0.9877990680232263,-0.4414545475999979,0.9087036603756072,0.1419735001455774
Bowling_Economy_Rate,0.06615617233272784,0.09372744650865032,0.026243140589642434,0.8053698498987871,0.8053698498987871,-0.38297913508206927,0.7578318645174449,1.0,0.8053698498987871,-0.38297913508206927,0.9518957776737794,0.1170253477084718
Bowling_Average,0.11292769551021094,0.11400873863136503,0.031842428200231275,0.9999999999999976,1.0,-0.46869102805835655,0.9877990680232263,0.8053698498987871,1.0,-0.46869102805835655,0.9263218396380762,0.14752640820265162
Bowling_Strike_Rate,-0.009179764925790401,-0.009136375829082215,-0.03974671358908115,-0.4686910280583573,-0.46869102805835655,1.0,-0.4414545475999979,-0.38297913508206927,-0.46869102805835655,1.0,-0.4297964117685719,-0.1395612803622634
Bowling_Index,0.09589968450107306,0.11115315429981577,0.02614098371903799,0.9263218396380766,0.9263218396380762,-0.4297964117685719,0.9087036603756072,0.9518957776737794,0.9263218396380762,-0.4297964117685719,1.0,0.13542512570024107
winning_percentage,0.010156078265656739,0.009605079989689111,0.011159680958846698,0.14752640820265228,0.14752640820265162,-0.1395612803622634,0.1419735001455774,0.1170253477084718,0.14752640820265162,-0.1395612803622634,0.13542512570024107,1.0
